entrez	symbol
10673	TNFSF13B
10682	EBP
10724	OGA
10728	PTGES3
10733	PLK4
10746	MAP3K2
10769	PLK2
10797	MTHFD2
10800	CYSLTR1
10841	FTCD
10846	PDE10A
10857	PGRMC1
10863	ADAM28
10864	SLC22A7
10873	ME3
10901	DHRS4
10963	STIP1
10988	METAP2
10991	SLC38A3
10993	SDS
11011	TLK2
11019	LIAS
11112	HIBADH
11113	CIT
11136	SLC7A9
11157	LSM6
11183	MAP4K5
11184	MAP4K1
11188	NISCH
11200	CHEK2
11212	PLPBP
11213	IRAK3
11238	CA5B
11240	PADI2
11251	PTGDR2
11255	HRH3
11261	CHP1
11280	SCN11A
11309	SLCO2B1
11315	PARK7
11329	STK38
11331	PHB2
22848	AAK1
22858	CILK1
22927	HABP4
22978	NT5C2
22983	MAST1
23012	STK38L
23042	PDXDC1
23043	TNIK
23070	CMTR1
23193	GANAB
23235	SIK2
23332	CLASP1
23387	SIK3
23395	LARS2
23408	SIRT5
23413	NCS1
23420	NOMO1
23428	SLC7A8
23464	GCAT
23468	CBX5
23475	QPRT
23530	NNT
23539	SLC16A8
23541	SEC14L2
23549	DNPEP
23564	DDAH2
23569	PADI4
23576	DDAH1
23604	DAPK2
23620	NTSR2
23632	CA14
23643	LY96
23649	POLA2
23657	SLC7A11
23678	SGK3
23743	BHMT2
23761	PISD
24145	PANX1
25801	GCA
25824	PRDX5
25973	PARS2
25974	MMACHC
25989	ULK3
26140	TTLL3
26227	PHGDH
26253	CLEC4E
26279	PLA2G2D
26330	GAPDHS
26873	OPLAH
27010	TPK1
27032	ATP2C1
27034	ACAD8
27035	NOX1
27094	KCNMB3
27095	TRAPPC3
27102	EIF2AK1
27115	PDE7B
27148	STK36
27165	GLS2
27232	GNMT
27306	HPGDS
27330	RPS6KA6
27345	KCNMB4
27347	STK39
28234	SLCO1B3
28996	HIPK2
29110	TBK1
29126	CD274
29881	NPC1L1
29920	PYCR2
29943	PADI1
29968	PSAT1
29991	OBP2A
30814	PLA2G2E
50484	RRM2B
50488	MINK1
50632	CALY
50700	RDH8
50814	NSDHL
50833	TAS2R16
50939	IMPG2
50940	PDE11A
51022	GLRX2
51060	TXNDC12
51067	YARS2
51079	NDUFA13
51086	TNNI3K
51091	SEPSECS
51109	RDH11
51135	IRAK4
51166	AADAT
51172	NAGPA
51174	TUBD1
51175	TUBE1
51176	LEF1
51179	HAO2
51181	DCXR
51185	CRBN
51228	GLTP
51268	PIPOX
51284	TLR7
51305	KCNK9
51311	TLR8
51327	AHSP
51347	TAOK3
51380	CSAD
51393	TRPV2
51451	LCMT1
51477	ISYNA1
51478	HSD17B7
51493	RTCB
51520	LARS1
51540	SCLY
51557	LGSN
51561	IL23A
51601	LIPT1
51686	OAZ3
51702	PADI3
51706	CYB5R1
51727	CMPK1
51765	STK26
51776	MAP3K20
53637	S1PR5
53904	MYO3A
54106	TLR9
54107	POLE3
54205	CYCS
54331	GNG2
54363	HAO1
54583	EGLN1
54658	UGT1A1
54677	CROT
54681	P4HTM
54861	SNRK
54884	RETSAT
54963	UCKL1
55034	MOCOS
55107	ANO1
55157	DARS2
55163	PNPO
55191	NADSYN1
55214	P3H2
55217	TMLHE
55239	OGFOD1
55256	ADI1
55300	PI4K2B
55304	SPTLC3
55312	RFK
55512	SMPD3
55561	CDC42BPG
55576	STAB2
55577	NAGK
55584	CHRNA9
55589	BMP2K
55627	SMPD4
55699	IARS2
55781	RIOK2
55799	CACNA2D3
55800	SCN3B
55825	PECR
55867	SLC22A11
55869	HDAC8
55902	ACSS2
55911	APOBR
55967	NDUFA12
56267	KYAT3
56479	KCNQ5
56603	CYP26B1
56605	ERO1B
56655	POLE4
56670	SUCNR1
56901	NDUFA4L2
56922	MCCC1
56924	PAK6
56934	CA10
56997	COQ8A
57016	AKR1B10
57026	PDXP
57053	CHRNA10
57105	CYSLTR2
57118	CAMK1D
57144	PAK5
57172	CAMK1G
57396	CLK4
57412	AS3MT
57468	SLC12A5
57505	AARS2
57526	PCDH19
57551	TAOK1
57665	RDH14
57787	MARK4
57823	SLAMF7
58190	CTDSP1
59272	ACE2
59338	PLEKHA1
59340	HRH4
59341	TRPV4
60490	PPCDC
63826	SRR
64064	OXCT2
64087	MCCC2
64127	NOD2
64175	P3H1
64805	P2RY12
64849	SLC13A3
64902	AGXT2
65061	CDK15
65263	PYCR3
65975	STK33
79001	VKORC1
79054	TRPM8
79184	BRCC3
79581	SLC52A2
79587	CARS2
79608	RIC3
79631	EFL1
79661	NEIL1
79676	OGFOD2
79731	NARS2
79751	SLC25A22
79837	PIP4K2C
79858	NEK11
79896	THNSL1
79934	COQ8B
80122	MAP3K19
80150	ASRGL1
80222	TARS2
80704	SLC19A3
80834	TAS1R2
81027	TUBB1
81033	KCNH6
81490	PTDSS2
81502	HM13
81551	STMN4
81693	AMN
81788	NUAK2
83732	RIOK1
83733	SLC25A18
83884	SLC25A2
83942	TSSK1B
84254	CAMKK1
84467	FBN3
84532	ACSS1
84649	DGAT2
84706	GPT2
84889	SLC7A3
85007	PHYKPL
85366	MYLK2
85443	DCLK3
90134	KCNH7
90411	MCFD2
91703	ACY3
91754	NEK9
91807	MYLK3
92292	GLYATL1
92483	LDHAL6B
93664	CADPS2
94121	SYTL4
112398	EGLN2
112399	EGLN3
112724	RDH13
112849	L3HYPDH
113451	AZIN2
113675	SDSL
114770	PGLYRP2
116085	SLC22A12
116443	GRIN3A
116444	GRIN3B
116447	TOP1MT
116844	LRG1
117159	DCD
119391	GSTO2
120892	LRRK2
121278	TPH2
121642	ALKBH2
122622	ADSS1
123096	SLC25A29
124454	EARS2
124583	CANT1
125972	CALR3
126328	NDUFA11
127833	SYT2
134864	TAAR1
140576	S100A16
140679	SLC32A1
140901	STK35
143903	LAYN
145226	RDH12
145482	PTGR2
145864	HAPLN3
150094	SIK1
151306	GPBAR1
154807	VKORC1L1
160287	LDHAL6A
161198	CLEC14A
162417	NAGS
162466	PHOSPHO1
162514	TRPV3
166614	DCLK2
166785	MMAA
167359	NIM1K
170572	HTR3C
199699	DAND5
200909	HTR3D
200959	GABRR3
202374	STK32A
203068	TUBB
206358	SLC36A1
219970	GLYATL2
221120	ALKBH3
221357	GSTA5
225689	MAPK15
252969	NEIL2
255239	ANKK1
255738	PCSK9
257202	GPX6
259307	IL4I1
266629	SEC14L3
284904	SEC14L4
285220	EPHA6
285242	HTR3E
285313	IGSF10
326625	MMAB
338442	HCAR2
338557	FFAR4
339896	GADL1
340156	MYLK4
340273	ABCB5
340665	CYP26C1
341208	HEPHL1
341676	NEK5
360203	GLT6D1
373156	GSTK1
374291	NDUFS7
377677	CA13
387129	NPSR1
388228	SBK1
388697	HRNR
389840	MAP3K15
404037	HAPLN4
415116	PIM3
440021	KRTAP5-2
440275	EIF2AK4
493869	GPX8
548596	CKMT1A
553115	PEF1
100130827	SBK3
